Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
23-04-2023,Career Track Certificate,Visual,0,1,1
24-04-2023,Level,Visual,0,0,81
24-04-2023,Goal,Visual,0,1,3
24-04-2023,Streak,Visual,0,4,21
24-04-2023,Collection,Visual,0,0,31
24-04-2023,Course Certificate,Visual,0,8,33
25-04-2023,Text Post,Text Post,2,3,3
25-04-2023,Level,Visual,0,1,100
25-04-2023,Streak,Visual,0,3,15
25-04-2023,Collection,Visual,0,1,24
25-04-2023,Course Certificate,Visual,0,6,29
25-04-2023,Career Track Certificate,Visual,0,0,1
26-04-2023,Level,Visual,1,3,80
26-04-2023,Streak,Visual,1,3,18
26-04-2023,Collection,Visual,0,1,28
26-04-2023,Course Certificate,Visual,0,10,38
27-04-2023,Level,Visual,0,3,103
27-04-2023,Streak,Visual,0,2,19
27-04-2023,Collection,Visual,1,1,25
27-04-2023,Course Certificate,Visual,0,5,44
28-04-2023,Level,Visual,0,0,125
28-04-2023,Streak,Visual,0,3,20
28-04-2023,Collection,Visual,0,0,42
28-04-2023,Course Certificate,Visual,0,5,30
28-04-2023,Career Track Certificate,Visual,0,1,1
29-04-2023,Level,Visual,0,3,105
29-04-2023,Goal,Visual,0,4,8
29-04-2023,Streak,Visual,0,5,16
29-04-2023,Collection,Visual,0,0,32
29-04-2023,Course Certificate,Visual,0,3,29
29-04-2023,Career Track Certificate,Visual,1,1,1
30-04-2023,Text Post,Text Post,0,1,1
30-04-2023,Level,Visual,0,1,85
30-04-2023,Goal,Visual,1,35,60
30-04-2023,Streak,Visual,0,8,20
30-04-2023,Collection,Visual,0,0,25
30-04-2023,Course Certificate,Visual,0,14,35
01-05-2023,Level,Visual,2,2,102
01-05-2023,Goal,Visual,0,4,7
01-05-2023,Streak,Visual,0,5,15
01-05-2023,Collection,Visual,0,1,39
01-05-2023,Course Certificate,Visual,0,10,32
02-05-2023,Level,Visual,0,6,107
02-05-2023,Streak,Visual,1,3,13
02-05-2023,Collection,Visual,0,1,41
02-05-2023,Course Certificate,Visual,0,5,39
03-05-2023,Level,Visual,0,1,103
03-05-2023,Streak,Visual,0,3,13
03-05-2023,Collection,Visual,0,1,36
03-05-2023,Course Certificate,Visual,0,12,37
04-05-2023,Text Post,Text Post,1,1,1
04-05-2023,Level,Visual,0,4,104
04-05-2023,Streak,Visual,0,2,14
04-05-2023,Collection,Visual,0,3,33
04-05-2023,Course Certificate,Visual,0,11,27
04-05-2023,Career Track Certificate,Visual,0,1,1
05-05-2023,Text Post,Text Post,3,3,3
05-05-2023,Level,Visual,0,2,75
05-05-2023,Streak,Visual,0,2,16
05-05-2023,Collection,Visual,0,0,29
05-05-2023,Course Certificate,Visual,0,8,38
05-05-2023,Career Track Certificate,Visual,0,0,2
06-05-2023,Text Post,Text Post,0,1,1
06-05-2023,Level,Visual,2,2,79
06-05-2023,Goal,Visual,0,2,4
06-05-2023,Streak,Visual,0,7,27
06-05-2023,Collection,Visual,0,1,25
06-05-2023,Course Certificate,Visual,0,6,27
07-05-2023,Text Post,Text Post,2,3,3
07-05-2023,Level,Visual,1,2,74
07-05-2023,Goal,Visual,0,37,58
07-05-2023,Streak,Visual,0,4,15
07-05-2023,Collection,Visual,0,0,20
07-05-2023,Course Certificate,Visual,0,12,38
07-05-2023,Career Track Certificate,Visual,0,1,1
08-05-2023,Text Post,Text Post,1,2,2
08-05-2023,Level,Visual,0,5,89
08-05-2023,Goal,Visual,0,1,3
08-05-2023,Streak,Visual,0,5,13
08-05-2023,Collection,Visual,0,2,28
08-05-2023,Course Certificate,Visual,0,8,28
09-05-2023,Text Post,Text Post,1,4,4
09-05-2023,Level,Visual,0,0,88
09-05-2023,Streak,Visual,0,0,7
09-05-2023,Collection,Visual,0,0,24
09-05-2023,Course Certificate,Visual,0,5,38
09-05-2023,Career Track Certificate,Visual,0,0,1
10-05-2023,Level,Visual,0,2,77
10-05-2023,Streak,Visual,0,4,8
10-05-2023,Collection,Visual,0,1,22
10-05-2023,Course Certificate,Visual,0,16,39
10-05-2023,Career Track Certificate,Visual,1,1,1
11-05-2023,Level,Visual,0,1,112
11-05-2023,Streak,Visual,0,3,21
11-05-2023,Collection,Visual,0,0,29
11-05-2023,Course Certificate,Visual,0,17,49
12-05-2023,Level,Visual,0,2,203
12-05-2023,Streak,Visual,0,3,17
12-05-2023,Collection,Visual,0,0,115
12-05-2023,Course Certificate,Visual,0,10,66
12-05-2023,Career Track Certificate,Visual,0,0,3
13-05-2023,Text Post,Text Post,0,1,1
13-05-2023,Level,Visual,0,2,311
13-05-2023,Goal,Visual,0,1,2
13-05-2023,Streak,Visual,0,2,23
13-05-2023,Collection,Visual,0,1,154
13-05-2023,Course Certificate,Visual,0,3,214
13-05-2023,Career Track Certificate,Visual,1,1,10
14-05-2023,Level,Visual,2,8,603
14-05-2023,Goal,Visual,0,34,59
14-05-2023,Streak,Visual,0,4,18
14-05-2023,Collection,Visual,0,2,342
14-05-2023,Course Certificate,Visual,0,25,755
14-05-2023,Career Track Certificate,Visual,0,10,27
15-05-2023,Text Post,Text Post,1,1,1
15-05-2023,Level,Visual,0,5,279
15-05-2023,Goal,Visual,0,1,3
15-05-2023,Streak,Visual,0,3,15
15-05-2023,Collection,Visual,0,0,101
15-05-2023,Course Certificate,Visual,0,91,288
15-05-2023,Career Track Certificate,Visual,0,0,5
16-05-2023,Text Post,Text Post,0,1,1
16-05-2023,Level,Visual,1,3,124
16-05-2023,Streak,Visual,0,7,19
16-05-2023,Collection,Visual,0,0,36
16-05-2023,Course Certificate,Visual,0,7,44
16-05-2023,Career Track Certificate,Visual,0,0,3
17-05-2023,Text Post,Text Post,0,1,1
17-05-2023,Level,Visual,1,3,111
17-05-2023,Streak,Visual,0,3,15
17-05-2023,Collection,Visual,0,2,43
17-05-2023,Course Certificate,Visual,0,4,24
18-05-2023,Text Post,Text Post,1,0,1
18-05-2023,Level,Visual,0,3,113
18-05-2023,Streak,Visual,0,5,16
18-05-2023,Collection,Visual,0,1,49
18-05-2023,Course Certificate,Visual,0,7,35
18-05-2023,Career Track Certificate,Visual,0,1,1
19-05-2023,Text Post,Text Post,1,1,1
19-05-2023,Level,Visual,0,2,106
19-05-2023,Streak,Visual,0,1,17
19-05-2023,Collection,Visual,0,1,36
19-05-2023,Course Certificate,Visual,0,4,47
19-05-2023,Career Track Certificate,Visual,0,1,1
20-05-2023,Text Post,Text Post,2,2,2
20-05-2023,Level,Visual,0,3,85
20-05-2023,Goal,Visual,0,1,5
20-05-2023,Streak,Visual,0,2,22
20-05-2023,Collection,Visual,0,1,43
20-05-2023,Course Certificate,Visual,0,6,26
21-05-2023,Level,Visual,0,2,78
21-05-2023,Goal,Visual,0,34,58
21-05-2023,Streak,Visual,0,3,15
21-05-2023,Collection,Visual,0,2,28
21-05-2023,Course Certificate,Visual,0,9,31
22-05-2023,Text Post,Text Post,1,1,1
22-05-2023,Level,Visual,0,3,111
22-05-2023,Goal,Visual,0,1,4
22-05-2023,Streak,Visual,0,2,14
22-05-2023,Collection,Visual,0,2,35
22-05-2023,Course Certificate,Visual,0,5,36
23-05-2023,Text Post,Text Post,1,1,1
23-05-2023,Level,Visual,0,1,61
23-05-2023,Streak,Visual,0,8,18
23-05-2023,Collection,Visual,0,1,34
23-05-2023,Course Certificate,Visual,0,6,34
24-05-2023,Level,Visual,1,5,62
24-05-2023,Streak,Visual,0,4,17
24-05-2023,Collection,Visual,0,0,26
24-05-2023,Course Certificate,Visual,0,4,35
25-05-2023,Text Post,Text Post,1,2,2
25-05-2023,Level,Visual,0,0,88
25-05-2023,Streak,Visual,0,0,12
25-05-2023,Collection,Visual,0,2,24
25-05-2023,Course Certificate,Visual,0,6,34
26-05-2023,Text Post,Text Post,2,2,2
26-05-2023,Level,Visual,0,2,76
26-05-2023,Streak,Visual,1,5,15
26-05-2023,Collection,Visual,0,0,30
26-05-2023,Course Certificate,Visual,0,5,28
26-05-2023,Career Track Certificate,Visual,0,0,1
27-05-2023,Level,Visual,0,3,79
27-05-2023,Goal,Visual,0,1,4
27-05-2023,Streak,Visual,0,8,30
27-05-2023,Collection,Visual,0,1,31
27-05-2023,Course Certificate,Visual,0,10,34
27-05-2023,Career Track Certificate,Visual,0,0,1
28-05-2023,Level,Visual,1,5,87
28-05-2023,Goal,Visual,0,35,61
28-05-2023,Streak,Visual,0,1,8
28-05-2023,Collection,Visual,0,0,27
28-05-2023,Course Certificate,Visual,0,14,45
29-05-2023,Text Post,Text Post,2,2,2
29-05-2023,Level,Visual,0,3,73
29-05-2023,Goal,Visual,0,1,3
29-05-2023,Streak,Visual,0,5,18
29-05-2023,Collection,Visual,0,3,35
29-05-2023,Course Certificate,Visual,0,7,22
30-05-2023,Text Post,Text Post,2,2,2
30-05-2023,Level,Visual,1,6,88
30-05-2023,Streak,Visual,0,5,16
30-05-2023,Collection,Visual,0,2,37
30-05-2023,Course Certificate,Visual,0,11,42
31-05-2023,Text Post,Text Post,1,1,1
31-05-2023,Level,Visual,0,5,82
31-05-2023,Streak,Visual,0,4,15
31-05-2023,Collection,Visual,0,0,22
31-05-2023,Course Certificate,Visual,0,11,40
