Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
23-01-2023,Career Track Certificate,Visual,1,1,1
24-01-2023,Text Post,Text Post,0,1,1
24-01-2023,Level,Visual,0,1,124
24-01-2023,Streak,Visual,1,3,23
24-01-2023,Collection,Visual,0,1,52
24-01-2023,Course Certificate,Visual,0,8,70
24-01-2023,Career Track Certificate,Visual,0,0,1
25-01-2023,Text Post,Text Post,2,3,3
25-01-2023,Level,Visual,0,2,120
25-01-2023,Streak,Visual,0,3,26
25-01-2023,Collection,Visual,0,1,65
25-01-2023,Course Certificate,Visual,0,13,69
25-01-2023,Career Track Certificate,Visual,0,1,1
26-01-2023,Text Post,Text Post,1,1,1
26-01-2023,Level,Visual,0,4,119
26-01-2023,Streak,Visual,0,3,26
26-01-2023,Collection,Visual,0,2,58
26-01-2023,Course Certificate,Visual,0,9,47
27-01-2023,Level,Visual,0,5,109
27-01-2023,Streak,Visual,0,1,17
27-01-2023,Collection,Visual,0,1,50
27-01-2023,Course Certificate,Visual,0,7,50
27-01-2023,Career Track Certificate,Visual,1,1,3
28-01-2023,Level,Visual,0,3,113
28-01-2023,Goal,Visual,0,5,8
28-01-2023,Streak,Visual,0,6,35
28-01-2023,Collection,Visual,0,0,69
28-01-2023,Course Certificate,Visual,0,20,52
29-01-2023,Level,Visual,0,4,111
29-01-2023,Goal,Visual,0,28,71
29-01-2023,Streak,Visual,0,5,22
29-01-2023,Collection,Visual,0,5,53
29-01-2023,Course Certificate,Visual,0,16,66
29-01-2023,Career Track Certificate,Visual,0,1,4
30-01-2023,Text Post,Text Post,0,2,2
30-01-2023,Level,Visual,0,0,128
30-01-2023,Goal,Visual,0,0,2
30-01-2023,Streak,Visual,0,6,23
30-01-2023,Collection,Visual,0,2,74
30-01-2023,Course Certificate,Visual,1,12,59
30-01-2023,Career Track Certificate,Visual,0,0,1
31-01-2023,Text Post,Text Post,1,1,1
31-01-2023,Level,Visual,0,0,145
31-01-2023,Streak,Visual,0,7,36
31-01-2023,Collection,Visual,0,0,75
31-01-2023,Course Certificate,Visual,1,13,67
31-01-2023,Career Track Certificate,Visual,0,1,2
01-02-2023,Level,Visual,0,1,149
01-02-2023,Streak,Visual,0,4,22
01-02-2023,Collection,Visual,0,0,57
01-02-2023,Course Certificate,Visual,0,14,62
01-02-2023,Career Track Certificate,Visual,0,0,1
02-02-2023,Text Post,Text Post,0,1,1
02-02-2023,Level,Visual,0,4,135
02-02-2023,Streak,Visual,0,5,27
02-02-2023,Collection,Visual,0,3,67
02-02-2023,Course Certificate,Visual,0,6,49
03-02-2023,Level,Visual,1,5,119
03-02-2023,Streak,Visual,0,4,35
03-02-2023,Collection,Visual,0,0,43
03-02-2023,Course Certificate,Visual,0,5,35
03-02-2023,Career Track Certificate,Visual,1,1,1
04-02-2023,Level,Visual,1,4,107
04-02-2023,Goal,Visual,0,3,8
04-02-2023,Streak,Visual,0,6,33
04-02-2023,Collection,Visual,0,0,42
04-02-2023,Course Certificate,Visual,0,7,39
05-02-2023,Level,Visual,0,4,121
05-02-2023,Goal,Visual,0,34,75
05-02-2023,Streak,Visual,0,1,22
05-02-2023,Collection,Visual,0,2,49
05-02-2023,Course Certificate,Visual,0,9,64
06-02-2023,Text Post,Text Post,0,1,1
06-02-2023,Level,Visual,0,4,119
06-02-2023,Goal,Visual,0,0,3
06-02-2023,Streak,Visual,0,4,28
06-02-2023,Collection,Visual,0,4,59
06-02-2023,Course Certificate,Visual,0,10,56
06-02-2023,Career Track Certificate,Visual,0,1,1
07-02-2023,Level,Visual,0,4,111
07-02-2023,Streak,Visual,0,10,27
07-02-2023,Collection,Visual,0,3,49
07-02-2023,Course Certificate,Visual,0,14,55
08-02-2023,Level,Visual,0,1,121
08-02-2023,Streak,Visual,0,3,21
08-02-2023,Collection,Visual,0,0,38
08-02-2023,Course Certificate,Visual,0,7,36
08-02-2023,Career Track Certificate,Visual,0,1,1
09-02-2023,Level,Visual,0,6,133
09-02-2023,Streak,Visual,0,3,21
09-02-2023,Collection,Visual,0,0,51
09-02-2023,Course Certificate,Visual,0,23,50
09-02-2023,Career Track Certificate,Visual,1,1,1
10-02-2023,Level,Visual,0,1,122
10-02-2023,Streak,Visual,0,7,20
10-02-2023,Collection,Visual,0,1,34
10-02-2023,Course Certificate,Visual,0,11,64
11-02-2023,Level,Visual,0,1,90
11-02-2023,Goal,Visual,0,5,7
11-02-2023,Streak,Visual,0,12,42
11-02-2023,Collection,Visual,0,0,30
11-02-2023,Course Certificate,Visual,0,8,54
12-02-2023,Text Post,Text Post,0,1,1
12-02-2023,Level,Visual,0,2,110
12-02-2023,Goal,Visual,0,30,67
12-02-2023,Streak,Visual,0,3,24
12-02-2023,Collection,Visual,0,1,36
12-02-2023,Course Certificate,Visual,0,5,50
13-02-2023,Level,Visual,0,2,112
13-02-2023,Goal,Visual,0,2,6
13-02-2023,Streak,Visual,0,3,19
13-02-2023,Collection,Visual,0,3,48
13-02-2023,Course Certificate,Visual,1,1,68
13-02-2023,Career Track Certificate,Visual,0,1,1
14-02-2023,Text Post,Text Post,1,1,1
14-02-2023,Level,Visual,0,2,133
14-02-2023,Streak,Visual,0,2,20
14-02-2023,Collection,Visual,0,1,61
14-02-2023,Course Certificate,Visual,0,10,60
15-02-2023,Level,Visual,0,2,143
15-02-2023,Streak,Visual,0,4,22
15-02-2023,Collection,Visual,0,0,48
15-02-2023,Course Certificate,Visual,0,12,70
16-02-2023,Text Post,Text Post,1,1,1
16-02-2023,Level,Visual,0,1,138
16-02-2023,Streak,Visual,0,3,23
16-02-2023,Collection,Visual,0,0,39
16-02-2023,Course Certificate,Visual,0,3,36
17-02-2023,Text Post,Text Post,1,1,1
17-02-2023,Level,Visual,0,2,132
17-02-2023,Streak,Visual,0,1,16
17-02-2023,Collection,Visual,0,0,31
17-02-2023,Course Certificate,Visual,0,11,44
18-02-2023,Level,Visual,0,0,111
18-02-2023,Goal,Visual,0,3,8
18-02-2023,Streak,Visual,0,2,24
18-02-2023,Collection,Visual,0,2,37
18-02-2023,Course Certificate,Visual,0,13,39
19-02-2023,Text Post,Text Post,4,4,4
19-02-2023,Level,Visual,0,3,113
19-02-2023,Goal,Visual,0,28,62
19-02-2023,Streak,Visual,0,5,20
19-02-2023,Collection,Visual,0,0,38
19-02-2023,Course Certificate,Visual,0,25,64
19-02-2023,Career Track Certificate,Visual,1,2,2
20-02-2023,Text Post,Text Post,1,2,2
20-02-2023,Level,Visual,0,6,124
20-02-2023,Goal,Visual,0,1,7
20-02-2023,Streak,Visual,0,4,18
20-02-2023,Collection,Visual,0,0,40
20-02-2023,Course Certificate,Visual,0,5,49
20-02-2023,Career Track Certificate,Visual,0,0,1
21-02-2023,Text Post,Text Post,2,2,2
21-02-2023,Level,Visual,1,4,152
21-02-2023,Streak,Visual,1,5,27
21-02-2023,Collection,Visual,0,0,52
21-02-2023,Course Certificate,Visual,0,5,55
21-02-2023,Career Track Certificate,Visual,1,1,2
22-02-2023,Text Post,Text Post,1,1,1
22-02-2023,Level,Visual,0,2,132
22-02-2023,Streak,Visual,0,3,22
